shape,color,isPost86,hex,introducedAt,retiredAt,category
10 3/4 Inch x 5 3/4 Inch Loaf Pan Baker 1.4,Sky,True,#87CEEB,2024.0,,Bakeware
2 5/8 Inch Salt and Pepper Shaker Set,Sky,True,#87CEEB,2024.0,,Countertop Accessories
3 1/2 Inch Sugar Packet Holder,Sky,True,#87CEEB,2024.0,,Other
4 3/8 Inch Coaster and Mug Cover,Sky,True,#87CEEB,2024.0,,"Mugs, Cups & Saucers"
4 5/8 Inch Rangetop Large Salt and Pepper,Sky,True,#87CEEB,2024.0,,Countertop Accessories
7 Inch Chevron Utensil Crock,Sky,True,#87CEEB,2024.0,,Countertop Accessories
9 5/8 Inch Medium Vase,Sky,True,#87CEEB,2024.0,,"Pitchers, Teapots & Vases"
2 5/8 Inch Salt and Pepper Shaker Set,Linen,True,#e9e0d3,2025.0,,Countertop Accessories
4 5/8 Inch Rangetop Large Salt and Pepper Shaker Set,Linen,True,#e9e0d3,2025.0,,Countertop Accessories
11 5/8 Inch Medium Oval Serving Platter,Sky,True,#87CEEB,2024.0,,Serveware
11 7/8 Inch Oblong Serving Platter,Linen,True,#e9e0d3,2025.0,,Serveware
11 7/8 Inch Oblong Serving Platter,Sky,True,#87CEEB,2024.0,,Serveware
12 Inch Large Rectangular Platter,Sky,True,#87CEEB,2024.0,,Serveware
12 Inch Round Baking and Serving Platter,Sky,True,#87CEEB,2024.0,,Serveware
13 5/8 Inch Large Oval Serving Platter,Linen,True,#e9e0d3,2025.0,,Serveware
13 5/8 Inch Large Oval Serving Platter,Sky,True,#87CEEB,2024.0,,Serveware
3 Inch Magnet Mini Dinner Plate,Sky,True,#87CEEB,2024.0,,Plates
9 5/8 Inch Small Oval Serving Platter,Sky,True,#87CEEB,2024.0,,Serveware
9 Inch Heart Shaped Plate,Sky,True,#87CEEB,2024.0,,Plates
